V240001	V241176 - PRE: What does R dislike about the Republican party [text]
233914	it acts like a cult of personality [CHAR(10)]differing opinions within the party tend to be harshly punished [CHAR(10)]fall out of favor with the MAGA crowd and your political career is likely over 
233932	
233944	most of them are old white me who care about no one but themselves 
233967	pro gun, against the right to choose, generally politicians these days are outright sexist and homophobic 
233979	could be racist and homophobic 
234020	bad actors in the party 
234032	spending out of control 
234044	in efforts to control spending, lower taxes and interest rates there must support and programs to make it possible for working parents to get the support they need through childcare as well as maternity/paternity leave. 
234107	Social policy, economic policy etc 
234137	policies favoring the rich 
234149	everything from healthcare, abortion view point to giving money and tax cuts to the riches. 
234161	elitist, anti-immigrant, anti-women's rights, anti labor rights, preference for the rich and disdain for the poor and middle class 
234173	The hate and division that many of the leaders push into the media. The lack of caring for the marginalized. The book bans. The demonization of LBGTQ. The support of the NRA and failure to enact polices that would make schools safer from mass shootings. The lack of support for healthcare. Their support of abortion bans - creating healthcare crisis for so many women. The support of Russia. The failure to support policies to stem climate change. Project 2025. Not investing in public education by creating vouchers for religious schools. Allowing room in their party for white supremacists. Supporting Christian Nationalism. Supporting men who believe women should not have an equal status and that they should be subservient to their husbands and just bear children. 
234197	Don't have country or citizens' best interests in mind--they're mindless. IJBOL. They're like cult zombies. 
234215	Hypocritical. Captured. Duplicitous. Retrograde. Cult of Personality. Liars. Insincere. Racist. Sexist. Intellectually unsound. Tool of the wealthy. 
234274	what I typed in the last question, I must've misread it. 
234304	name calling and division 
234345	terrible for our economy and rights 
234351	No one is willing to stand up for anything that is counter to Donald Trump. They are all spineless lemmings. 
234405	their abortion policies 
234429	religion and fear mongering 
234480	Interest in removing rights from American’s, obsession with Transgender people and their bodies, open endorsement of Christian nationalism. 
234513	All about the rich & wealthy, never about the Middle Class or Poor people! 
234530	banning books in schools & libraries 
234542	immigrations and foreign relations 
234554	against women’s rights. they don’t seem to be looking out for the people that elected them. 
234572	I don't like that the republican party doesn't help those in need and they are way too conservative. 
234595	refuse to acknowledge that abortion is sometime reasonable 
234654	I used to be a proud Republican, now they stand only for hate. The leaders are spineless and represent nothing substantial anymore. it makes me sick. 
