V240001	V241174 - PRE: What does R like about Republican party [text]
388961	I like the aspect of being pro military and tax breaks, but the modern day republicans are what democrats used to be about 30 years ago /AE/ not at this time 
388982	I like what they stand for, the policies, I like the fact that they follow the rules. /AE/ That's good. 
389028	their stance on gun control, um, the stances on immigration /AE/ the legitimate support of direct funds back into the school system /AE/ how they don't force and push some weird and untrue agena /AE/ no 
389211	economy, immergration, taxes, crime, freedom of speech, aganist abortion, right to bare arm, believe in the consitution//ao// that pretty much, I gave you about everything I can think of 
389232	trump understand the republican party /ae / no 
389494	Their outlook on the economy, on foreign relations, on abortion, illegal immigration/ae/I like how they are handling their ideas on foreign aid and disaster relief/ae/no 
389549	there conservartive, moral/ao/no 
389789	they're not as leftist, they're not liberal they're not such extremist 
389829	I like the way the... I have benefited more when the republican party has been in the white house, the president. I don't believe in giving out handouts like the democrats have /AE/ That's pretty much it, that's the short, without going down rabbit holes 
389969	I like their policies on immigration better and taxes. 
390206	Their views align more with mine being conservative and sticking to what I believe the founding fathers intended for the country. 
390407	I like that they want to shut down the border and run our immigration system properly, vetting people, I like that. I like the fact that they're not going to kill the second amendment, and I wasn't too crazy at first when they did away with Roe V Wade, but I understand why they did, they put it with the states so in that regard I don't have a problem. They seem to be coming out for everybody, they don't seem to be coming out just for the rich people, I could be wrong. And they want law and order. I don't think well, you can see that the big cities that were destroyed with the fires and everything with the riots, where they tied the hands of the police were democrat cities! The republican cities you didnt see any of that and that's important. And poor connecticut is about 80 percent democrat, about that. Which didn't bother me until all of these crazy things were going on. They came when we had the census, they went to my friend's house, they wanted her to tell them about how many rooms she had, how many people lives there, how many baths she had, how many bedrooms they had. They claimed they wer from the census, and they said e need extra hosing in your area we need more housing with disabled seniors! They want to put illegal immigrants with disabled seniors! If I hadn't seen it myself, I told that woman, I said I just brought her home, the owner of the condo, brought her home from the hospital, I told the person to get the hell out of here. The person said on't you want to offer your home for these people? I couldn't believe it, if I hadn't seen it myself. /AE/ I don't know, it's hard to like parties but I like the way the majority is trying to keep the peace and run the country. /AE/ No that's plenty. 
